n,Ben-Or_Time(ms),Mignotte_Time(ms), Hybrid_algo_time(ms)
10,15,56,20
30,81,257,86
50,181,404,165
100,702,1591,768
150,929,3541,1388
200,4283,10312,5390
250,12968,12622,12911
