n,Ben-Or_Time(ms),Mignotte_Time(ms), Hybrid_Time(ms)
10,37,423,38
30,153,2545,105
50,408,8158,341
100,1382,32437,1782
150,3602,72767,3199
200,6591,119500,3086
250,4840,120528,5072
500,21257,527871,21978
