n,Ben-Or_Time(ms),Mignotte_Time(ms), Hybrid_algo_time(ms)
10,37,5591,28
30,204,8693,183
50,821,16337,499
100,2415,37720,2050
150,2884,147394,9579
200,35579,182665,11647
250,33410,302217,24125
