n,Ben-Or_Time(ms),Mignotte_Time(ms), Hybrid_algo_time(ms)
10,15,145,12
30,117,226,93
50,367,338,224
100,1354,1027,1325
150,4362,1804,3111
200,7274,2919,6922
250,17195,8388,14458
